precise	question	risk	reason
c:objc(pl)JSExport	Does Apple JSExport still project every ObjC instance method of a conforming class into the JS prototype on iOS 26.1, including methods added in categories after class registration?	scripting	JSC_OBJC_API_ENABLED is 0; Linux has no ObjC JSExport projection and the protocol is a marker only.
c:objc(cs)JSContext(py)inspectable	When JSContext.isInspectable is set true on iOS 26.1, which inspector transport is created and does evaluateScript block until a debugger attaches?	backend	This port stores the flag and never opens a remote inspector.
c:objc(cs)JSValue(cm)valueWithNewPromiseInContext:fromExecutor:	Do then/catch callbacks enqueue on the JSC microtask queue and run after the current evaluateScript returns, or can they run inside the executor?	scripting	This port runs Promise then/catch synchronously, which is an observable scheduling gap.
c:@F@JSGarbageCollect	Does Apple JSGarbageCollect finalize unprotected C API objects unreachable from the global object before returning, and in which order are parent/derived JSClass finalize callbacks invoked?	c-abi	This port mark-sweeps interned boxes from the global object and JSValueProtect roots; it is not Apple's collector.
c:@F@JSEvaluateScript	For a thrown exception, does JSEvaluateScript leave the exception out-parameter as a JS object with name/message own properties, and is the return value always NULL rather than undefined?	c-abi	Public graphs do not record exception object shape or NULL-versus-undefined return.
c:objc(cs)JSValue(im)toObject	For JS undefined, null, Date, and host-wrapped Swift objects, what exact Foundation types does JSValue.toObject return on iOS 26.1?	scripting	Bridging tables are not in the symbol graph; this port uses nil/NSNull/Date/host identity as a local convention.
c:@F@JSStringCopyCFString	When alloc is NULL, does Apple still copy using the default allocator, and is the returned CFString a copy rather than a toll-free-bridged NSString?	c-abi	Linux CFStringCreateWithCString is used; Apple allocator/bridging semantics are unobserved.
c:objc(cs)JSManagedValue(py)value	If the underlying JS value is collected while the JSManagedValue is still held, does .value become nil without an explicit JSVirtualMachine removeManagedReference?	backend	This port keeps a weak JSValue wrapper and does not emulate JSC's managed-reference GC.
c:@kJSClassDefinitionEmpty	Is kJSClassDefinitionEmpty a true exported const JSClassDefinition with every callback pointer NULL, and can C clients take its address?	c-abi	Swift cannot emit that C data symbol; this port zero-initializes local structs instead.
module	Which additional ES language features (class, async/await, modules, Proxy, generators) must evaluateScript accept for the Telegram and Element WebView consumers, versus throwing SyntaxError?	scripting	The 20-app corpus only records file-level imports; exact script bodies are not in the pinned seed.
