precise	question	risk	reason
c:objc(cs)BGTaskScheduler(im)submitTaskRequest:error:	What pending-request cap does Apple's daemon enforce, and is it global or per identifier?	fail-closed	Linux keeps a process-local cap of 10 copied requests. Public inputs and macios bindings record the tooManyPendingTaskRequests code but not the numeric limit or whether duplicate identifiers coalesce.
c:@E@BGTaskSchedulerErrorCode@BGTaskSchedulerErrorCodeImmediateRunIneligible	When does Apple throw BGTaskScheduler.Error.immediateRunIneligible, and is it a submit-time or launch-time failure?	fail-closed	The code exists (macios ImmediateRunIneligible = 4). Linux constructs and bridges the error but never emits it from submit/register, because the trigger is unobserved.
c:objc(cs)BGContinuedProcessingTaskRequest(py)strategy	What is Apple's default SubmissionStrategy on a freshly constructed BGContinuedProcessingTaskRequest?	fail-closed	Pinned graphs declare the property; macios native enum is Fail=0, Queue=1. Linux stores .fail (C zero) until an Apple runtime observation lands.
c:objc(cs)BGContinuedProcessingTaskRequest(py)requiredResources	What is Apple's default requiredResources, and does submit fail when .gpu is requested but unsupported?	fail-closed	macios Default = 0x0 and Gpu = 1<<0. Linux defaults to the empty set and still accepts a .gpu request into process-local pending state. Apple's reject-vs-queue behavior is unobserved.
c:objc(cs)BGTaskScheduler(cpy)supportedResources	Does Apple return .gpu on GPU-capable iPhones and the empty set on other devices, and does the value change over process lifetime?	fail-closed	Linux always returns []. Advertising .gpu would invent continued-processing hardware support.
c:objc(cs)BGHealthResearchTaskRequest(py)protectionTypeOfRequiredData	What default NSString does Apple store, and which FileProtection values are legal?	fail-closed	The graph types the property as unowned(unsafe) NSString. Linux uses a retained empty NSString default. HealthKit protection-type validation is unobserved.
c:objc(cs)BGTaskScheduler(im)registerForTaskWithIdentifier:usingQueue:launchHandler:	Does Apple require the identifier to appear in Info.plist BGTaskSchedulerPermittedIdentifiers, and which queue is used when the queue argument is nil?	fail-closed	Linux rejects empty/duplicate identifiers and optional host-permitted sets. Nil queue runs the handler on the launch caller. Apple's plist and default-queue rules are unobserved.
c:objc(cs)BGTaskScheduler(im)getPendingTaskRequestsWithCompletionHandler:	On which queue does Apple invoke the pending-request completion handler, and does it return before the callback?	fail-closed	Linux invokes the handler synchronously with copies before getPendingTaskRequests returns. Callback timing/queue on Apple is unobserved.
c:objc(cs)BGContinuedProcessingTask(im)updateTitle:subtitle:	Does Apple's updateTitle(_:subtitle:) also mutate Progress.localizedDescription / UI, and is it safe after setTaskCompleted?	ui	Linux updates the stored title/subtitle immediately and leaves Progress untouched. System continued-processing UI does not exist here.
module	Does Linux ever gain a real background-task daemon, or must every launch remain host SPI until an Apple scheduler exists?	fail-closed	Fabricating dasd-like scheduling would claim Apple service success. This starting point keeps process-local pending state and @_spi(OpenUIKitHost) launch.
