precise	status	evidence	notes
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16FoundationModels16GenerationSchemaV0D5ErrorO	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16FoundationModels19SystemLanguageModelC7AdapterV10AssetErrorO	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16FoundationModels20LanguageModelSessionC13ToolCallErrorV	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE10helpAnchorSSSgvp::SYNTHESIZED::s:16FoundationModels20LanguageModelSessionC15GenerationErrorO	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:16FoundationModels16GenerationSchemaV0D5ErrorO	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:16FoundationModels19SystemLanguageModelC7AdapterV10AssetErrorO	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE13failureReasonSSSgvp::SYNTHESIZED::s:16FoundationModels20LanguageModelSessionC13ToolCallErrorV	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:10Foundation14LocalizedErrorPAAE18recoverySuggestionSSSgvp::SYNTHESIZED::s:16FoundationModels20LanguageModelSessionC13ToolCallErrorV	implemented	test:full/foundationmodels/tests/agent/FoundationModelsWitnessTests.swift#testLocalizedErrorWitnesses	-
s:16FoundationModels10TranscriptV	implemented	test:full/foundationmodels/tests/agent/FoundationModelsTests.swift#testTranscriptCollection	-
s:16FoundationModels10TranscriptV10ToolOutputV	implemented	test:full/foundationmodels/tests/agent/FoundationModelsTests.swift#testTranscriptCollection	-
s:16FoundationModels10TranscriptV10ToolOutputV11descriptionSSvp	implemented	test:full/foundationmodels/tests/agent/FoundationModelsTests.swift#testTranscriptCollection	-
s:16FoundationModels10TranscriptV10ToolOutputV2IDa	implemented	test:full/foundationmodels/tests/agent/FoundationModelsTests.swift#testTranscriptCollection	-
