precise	question	risk	reason
c:@NSUserActivityTypeLiveActivity	What is the exact string payload of NSUserActivityTypeLiveActivity on iOS 26.1?	fail-closed	The graph records the constant name but not the string value; pinned bindings do not include WidgetKit.
s:11ActivityKit0A10AttributesP06WidgetB0E14previewContext_7isStale8viewKindQr12ContentStateQz_SbAD0a11PreviewViewJ0OtF	Does ActivityAttributes.previewContext require an ActivityKit runtime, and what view does it produce for stale vs live content states?	ui	ActivityKit is not a declared host dependency; preview APIs are excluded from this lane.
module	When WidgetCenter.reloadAllTimelines is called on iOS with chronod present, is the request acknowledged synchronously, queued, or dropped when no widget of that kind is installed?	fail-closed	Linux retains process-local ordered requests and never claims daemon acceptance; Apple queue and delivery semantics are unobserved.
s:9WidgetKit0A6CenterC15currentPushInfoAA0aeF0VSgvp	Does WidgetCenter.currentPushInfo return nil until a push token is delivered by aps, and on which queue does the async getter resume?	fail-closed	Linux stores host-delivered tokens process-locally via WidgetCenter.deliverPushToken; the async getter has no Apple apsd scheduling evidence.
s:9WidgetKit22PreviewActivityBuilderV	Does PreviewActivityBuilder flatten nested arrays in the same order as Xcode canvas #Preview expansion, and does it run on the MainActor?	ui	Linux concatenates ContentState values in-process; there is no DeveloperToolsSupport canvas or ActivityKit preview session.
s:9WidgetKit0A6CenterC19invalidateRelevance6ofKindySS_tF	Does invalidateRelevance(ofKind:) notify chronod immediately, coalesce with reload requests, or no-op when no relevance donations exist?	fail-closed	The Linux implementation is an inert no-op; Apple daemon interaction is unobserved.
s:9WidgetKit21ActivityConfigurationV3for7content13dynamicIslandACyxGxm_qd__AA0C11ViewContextVyxGcAA07DynamicH0VAJctc7SwiftUI0I0Rd__lufc	Must ActivityConfiguration register with ActivityKit at init, or only when the containing Widget.main() runs?	ui	Linux records a host-driven descriptor and never talks to an activity daemon; init-time registration is unobserved.
s:9WidgetKit0A6FamilyO16systemExtraLargeyA2CmF	What is the exact extra-large Home Screen canvas in points on iPad (A16) / iPadOS 26.1, and does it vary by size class?	ui	Apple's HIG Widgets table used here cites iPhone small/medium/large by device class; extra-large is iPad-only and was not in the seed documentation payload.
s:9WidgetKit0A6FamilyO17accessoryCircularyA2CmF	What are the exact Lock Screen accessoryCircular / accessoryRectangular / accessoryInline canvases in points on iPhone 16 / iOS 26.1?	ui	The HIG Widgets Home Screen table does not list accessory families; TimelineProviderContext.displaySize is the documented runtime source.
s:9WidgetKit20ControlValueProviderP07currentD00D0QzyYaKF	What does ControlValueProvider.currentValue return when Control Center has no live control of that kind, and on which queue does the async method resume?	fail-closed	Linux exposes previewValue as host data and does not invent a Control Center live value; Apple daemon scheduling is unobserved.
s:7SwiftUI17EnvironmentValuesV9WidgetKitE20widgetContentMarginsAA10EdgeInsetsVvp	What are the default EnvironmentValues.widgetContentMargins on iPhone 16 / iOS 26.1 for systemSmall, systemMedium, and systemLarge?	ui	Apple WidgetKit documentation says WidgetKit adds standard content margins; the seed does not record the point values, so Linux currently stores EdgeInsets() (all zero) as a value store until an oracle capture.
