precise	question	risk	reason
s:21TelephonyMessagingKit9RCSHandleO11phoneNumberyACSgSSFZ	Does RCSHandle.phoneNumber(_:) wrap the trimmed number as a bare URI string, a tel: URI, or a SIP URI, and does it reject non-E.164 input?	telephony	The graph returns RCSHandle? from a String with no URI scheme. Linux returns nil for empty/whitespace and .uri(URI(rawValue: trimmed)) otherwise. Apple's normalization and invalid-number policy are unobserved.
s:21TelephonyMessagingKit17CellularServiceIDV	Is CellularServiceID a UUID wrapper, a CoreTelephony service identifier, or another opaque payload, and which initializer is public on Darwin?	telephony	The census exposes Codable/Hashable/CustomStringConvertible but no stored-property layout and only init(from:). Linux stores a UUID behind a host SPI initializer so tests can construct values. Darwin representation is unobserved.
s:21TelephonyMessagingKit10RCSServiceC8BusinessV10themeColorSo10CGColorRefaSgvp	What CGColor space, components, and nil vs default does Business.themeColor use when a carrier profile has no branded color?	fail-closed	The property is CGColor?. Linux returns nil because CoreGraphics is not a declared dependency and no carrier profile exists. Apple's default color and encoding are unobserved.
s:21TelephonyMessagingKit10SMSServiceC11sendMessageyyAA10SMSMessageVYaKF	Which SMSService.Error case (or NSError domain/code) does sendMessage throw on a host without a telephony daemon versus a Darwin device that lacks the carrier-messaging entitlement?	telephony	Linux always throws .notSupported and never queues a message. Apple's distinction among notSupported, permanentFailure, temporaryFailure, and unknown is unobserved.
s:21TelephonyMessagingKit10MMSServiceC11sendMessageyyAA10MMSMessageVYaKF	Which MMSService.Error case does sendMessage/reportSpam/configuration/receiveMessage throw when MMS is not configured for the carrier, and is mmsNotConfiguredForCarrier distinct from notSupported?	telephony	Linux throws .mmsNotConfiguredForCarrier for every mutating MMS service call. Whether Apple uses that case, .mmsNotReady, or .notSupported for a missing daemon is unobserved.
s:21TelephonyMessagingKit10RCSServiceC11sendMessage_2to5using9messageIDyAA10RCSMessageV4TextV_AA9RCSHandleOAA015CellularServiceJ0VAA0kJ0VtYaKF	Which RCSService.Error case do send/upload/group-chat mutations throw without an RCS stack, and does revokeMessage ever return false instead of throwing?	os-service	Linux throws .serviceUnavailable from every async RCS mutation, including revokeMessage. Apple's mapping onto permanentError/temporaryError/notFound and the Bool success path are unobserved.
s:21TelephonyMessagingKit10RCSServiceC8BusinessV4CardV9FontStyleV4boldAIvpZ	Are FontStyle bits 1<<0 (bold), 1<<1 (italics), 1<<2 (underline) in API-digester stored-property order, or does Apple use a different layout?	fail-closed	The graph lists the static lets without raw values. Linux assigns sequential OptionSet bits from digester order. Apple's bit layout is unobserved.
s:21TelephonyMessagingKit10SMSServiceC28incomingMessageNotificationsQrvp	On Darwin, do throwing AsyncSequence getters fail immediately, yield an empty sequence, or wait on a daemon queue, and which queue delivers events?	os-service	Linux throws the documented service error from the getter and never installs a subscriber. Callback timing, queue identity, and exactly-once delivery are unobserved; the sealed runner has no run loop.
s:21TelephonyMessagingKit0aB7SessionC022isConfiguredForCarrierB0Sbvp	Is isConfiguredForCarrierMessaging false only when no carrier profile exists, or also false for an unentitled process on a provisioned device?	telephony	Linux always returns false. Apple's entitlement vs SIM vs carrier-profile conditions are unobserved.
module	Which UniformTypeIdentifiers/CoreGraphics/CoreLocation types are ABI-imported by TelephonyMessagingKit on Darwin, and must a Linux port re-export the real modules instead of isolated-host stand-ins?	fail-closed	The declared dependency list is Foundation only. Linux uses #if !canImport stand-ins named UTType, CGColor, and CLLocationCoordinate2D so the public surface type-checks. They are not substitutes for Foundation-owned types. Darwin module identity is unobserved.
