precise	question	risk	reason
c:@BEAccessibilityTraitMenuItem	What are Darwin's exact UIAccessibilityTraits bit values for BEAccessibilityTraitMenuItem and the other BEAccessibilityTrait* constants?	fail-closed	macios only records Field names; the iPhoneOS header bytes are absent. Host uses distinct 1<<40+ bits that are not claimed to be Apple-identical.
c:@BEAccessibilitySelectionChangedNotification	What UIAccessibility.Notification raw values does Darwin assign to BEAccessibilitySelectionChangedNotification and BEAccessibilityValueChangedNotification?	fail-closed	BackingFieldType is uint; numeric tokens are unobserved. Host 0xBE01/0xBE02 are local sentinels.
c:@E@BEKeyModifierFlags	Does Darwin import BEKeyModifierFlags as a Swift OptionSet (combinable bits) or as a mutually exclusive enum with sequential 0/1/2?	extension	The graph is swift.enum with three cases; macios annotates [Flags]. Combinations such as shift+capsLock are unobserved.
s:16BrowserEngineKit16RenderingProcessV16bundleIdentifier14onInterruptionACSSSg_yyctYaKcfc	On Darwin, does RenderingProcess.init(bundleIdentifier:onInterruption:) fail before or after invoking onInterruption when the helper appex is missing?	process	Linux throws processUnavailable immediately and never stores the handler. Callback timing and queue are unobserved.
c:objc(cs)BELayerHierarchy(cm)layerHierarchyWithError:	Does LayerHierarchy.init() populate handle/layer before returning an NSError, and which NSError domain/code does the GPU/mach-port path use?	fail-closed	Linux throws BrowserEngineKitHostError.layerHierarchyUnavailable (domain BrowserEngineKit.Linux, code 3). Apple's domain is unobserved.
c:@M@BrowserEngineKit@objc(cs)BEDownloadMonitor(cm)createAccessToken	Does createAccessToken() return nil or throw when Live Activity / downloads-folder entitlements are missing on Darwin?	fail-closed	Linux returns nil. Whether Darwin uses a specific NSError is unobserved.
c:objc(cs)BEWebAppManifest(im)initWithJSONData:manifestURL:	Does init?(jsonData:manifestURL:) require a JSON object only, or does it also validate Web Application Manifest schema (name, start_url, icons)?	fail-closed	Linux accepts any JSON object and rejects arrays/primitives/invalid JSON. Schema enforcement is unobserved.
c:objc(cs)BETextDocumentRequest(py)surroundingGranularity	What are the default options, surroundingGranularity, and granularityCount of a newly constructed BETextDocumentRequest on Darwin?	fail-closed	The public surface has no designated initializer. Host_make defaults to [], .character, 0.
c:objc(cs)BEKeyEntryContext(py)documentEditable	What are Darwin defaults for isDocumentEditable, shouldInsertCharacter, and shouldEvaluateForInputSystemHandling after init(keyEntry:)?	fail-closed	Linux uses false for all three. Apple defaults are unobserved.
module	Which Dispatch queue delivers BETextInput async completions and process interruption handlers on Darwin?	process	The isolated Linux runner has no run loop. Async APIs are declared, not executed. Queue choice is unobserved.
