precise	status	evidence	notes
c:@AVCustomRoutingControllerAuthorizedRoutesDidChangeNotification	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerAuthorizedRoutesDidChangeName	Raw value matches the ObjC field; Linux never posts this name.
c:@E@AVCustomRoutingEventReason	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventReasonTests.swift#testEventReasonRawValuesAndHashable	Int enum; table-driven with cases and synthesized Hashable/Equatable.
c:@E@AVCustomRoutingEventReason@AVCustomRoutingEventReasonActivate	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventReasonTests.swift#testEventReasonRawValuesAndHashable	rawValue 0 from macios Native enum order.
c:@E@AVCustomRoutingEventReason@AVCustomRoutingEventReasonDeactivate	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventReasonTests.swift#testEventReasonRawValuesAndHashable	rawValue 1 from macios Native enum order.
c:@E@AVCustomRoutingEventReason@AVCustomRoutingEventReasonReactivate	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventReasonTests.swift#testEventReasonRawValuesAndHashable	rawValue 2 from macios Native enum order.
c:objc(cs)AVCustomDeviceRoute	implemented	test:full/avrouting/tests/agent/AVCustomDeviceRouteTests.swift#testCustomDeviceRouteIsNSObjectSubclass	NSObject subclass; identity Equatable from Foundation.NSObject.
c:objc(cs)AVCustomDeviceRoute(py)bluetoothIdentifier	implemented	test:full/avrouting/tests/agent/AVCustomDeviceRouteTests.swift#testCustomDeviceRouteBluetoothIdentifierStored	Get-only; Linux-only init stores the UUID. Default init is nil.
c:objc(cs)AVCustomDeviceRoute(py)networkEndpoint	implemented	test:full/avrouting/tests/agent/AVCustomDeviceRouteTests.swift#testCustomDeviceRouteNetworkEndpointAlwaysNil	Always nil: no Network daemon and Network is not a declared dependency.
c:objc(cs)AVCustomRoutingActionItem	implemented	test:full/avrouting/tests/agent/AVCustomRoutingActionItemTests.swift#testCustomRoutingActionItemIsNSObjectSubclass	NSObject subclass; identity Equatable from Foundation.NSObject.
c:objc(cs)AVCustomRoutingActionItem(py)overrideTitle	implemented	test:full/avrouting/tests/agent/AVCustomRoutingActionItemTests.swift#testCustomRoutingActionItemOverrideTitleRoundTrip	Optional String get/set; nil default; empty string distinct from nil.
c:objc(cs)AVCustomRoutingActionItem(py)type	implemented	test:full/avrouting/tests/agent/AVCustomRoutingActionItemTests.swift#testCustomRoutingActionItemTypeRoundTrip	UTType identifier overlay on the isolated host; Darwin default is unobserved.
c:objc(cs)AVCustomRoutingController	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerIsNSObjectSubclass	NSObject subclass; identity Equatable from Foundation.NSObject.
c:objc(cs)AVCustomRoutingController(im)invalidateAuthorizationForRoute:	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerInvalidateAuthorizationClearsActive	Clears process-local active flag; does not contact an authorization service.
c:objc(cs)AVCustomRoutingController(im)isRouteActive:	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerIsRouteActiveIndependentIdentities	Object-identity membership of the process-local active set.
c:objc(cs)AVCustomRoutingController(im)setActive:forRoute:	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerSetActiveProcessLocal	Process-local bookkeeping only; does not route audio.
c:objc(cs)AVCustomRoutingController(py)authorizedRoutes	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerAuthorizedRoutesAlwaysEmpty	Always empty: no route-authorization daemon.
c:objc(cs)AVCustomRoutingController(py)customActionItems	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerCustomActionItemsRoundTrip	Stored array; setting it does not present a picker.
c:objc(cs)AVCustomRoutingController(py)delegate	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerDelegateWeak	Weak; releasing the only strong owner clears the property. Controller never invokes it.
c:objc(cs)AVCustomRoutingController(py)knownRouteIPs	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerTests.swift#testCustomRoutingControllerKnownRouteIPsRoundTrip	Stored array of AVCustomRoutingPartialIP; no discovery.
c:objc(cs)AVCustomRoutingEvent	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventTests.swift#testCustomRoutingEventIsNSObjectSubclass	NSObject subclass; identity Equatable from Foundation.NSObject.
c:objc(cs)AVCustomRoutingEvent(py)reason	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventTests.swift#testCustomRoutingEventReasonStored	Get-only; Linux-only init stores the enum value.
c:objc(cs)AVCustomRoutingEvent(py)route	implemented	test:full/avrouting/tests/agent/AVCustomRoutingEventTests.swift#testCustomRoutingEventRouteIdentity	Get-only; retains the given AVCustomDeviceRoute identity.
c:objc(cs)AVCustomRoutingPartialIP	implemented	test:full/avrouting/tests/agent/AVCustomRoutingPartialIPTests.swift#testCustomRoutingPartialIPIsNSObjectSubclass	NSObject subclass; identity Equatable from Foundation.NSObject.
c:objc(cs)AVCustomRoutingPartialIP(im)initWithAddress:mask:	implemented	test:full/avrouting/tests/agent/AVCustomRoutingPartialIPTests.swift#testCustomRoutingPartialIPInitCopiesAddressAndMask	Copies address and mask Data at init; later mutation of caller buffers is not visible.
c:objc(cs)AVCustomRoutingPartialIP(py)address	implemented	test:full/avrouting/tests/agent/AVCustomRoutingPartialIPTests.swift#testCustomRoutingPartialIPAddressGetter	Readonly snapshot of the designated-init address.
c:objc(cs)AVCustomRoutingPartialIP(py)mask	implemented	test:full/avrouting/tests/agent/AVCustomRoutingPartialIPTests.swift#testCustomRoutingPartialIPMaskGetter	Readonly snapshot of the designated-init mask.
c:objc(cs)AVRoutingPlaybackArbiter	implemented	test:full/avrouting/tests/agent/AVRoutingPlaybackArbiterTests.swift#testRoutingPlaybackArbiterIsNSObjectSubclass	NSObject subclass; constructed only via shared().
c:objc(cs)AVRoutingPlaybackArbiter(cm)sharedRoutingPlaybackArbiter	implemented	test:full/avrouting/tests/agent/AVRoutingPlaybackArbiterTests.swift#testRoutingPlaybackArbiterSharedIdentity	Singleton identity; does not arbitrate playback.
c:objc(cs)AVRoutingPlaybackArbiter(py)preferredParticipantForExternalPlayback	implemented	test:full/avrouting/tests/agent/AVRoutingPlaybackArbiterTests.swift#testRoutingPlaybackArbiterPreferredParticipantWeak	Weak; assignment does not start external playback.
c:objc(pl)AVCustomRoutingControllerDelegate	implemented	test:full/avrouting/tests/agent/AVCustomRoutingControllerDelegateTests.swift#testCustomRoutingControllerDelegateConformance	NSObjectProtocol & Sendable; existential stores the conforming NSObject identity.
