precise	kind	title	path	declaration
c:@CM@ImagePlayground@objc(cs)ImagePlaygroundViewController(cpy)available	swift.type.property	isAvailable	ImagePlaygroundViewController.isAvailable	@MainActor @objc(available) @preconcurrency dynamic class var isAvailable: Bool { get }
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController	swift.class	ImagePlaygroundViewController	ImagePlaygroundViewController	@MainActor @objc @preconcurrency class ImagePlaygroundViewController
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)init	swift.init	init()	ImagePlaygroundViewController.init()	@MainActor @preconcurrency dynamic convenience init()
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)viewDidDisappear:	swift.method	viewDidDisappear(_:)	ImagePlaygroundViewController.viewDidDisappear(_:)	@MainActor @preconcurrency override dynamic func viewDidDisappear(_ animated: Bool)
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(im)viewDidLoad	swift.method	viewDidLoad()	ImagePlaygroundViewController.viewDidLoad()	@MainActor @preconcurrency override dynamic func viewDidLoad()
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)delegate	swift.property	delegate	ImagePlaygroundViewController.delegate	@MainActor @objc @preconcurrency weak var delegate: (any ImagePlaygroundViewController.Delegate)?
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)modalInPresentation	swift.property	isModalInPresentation	ImagePlaygroundViewController.isModalInPresentation	@MainActor @preconcurrency override dynamic var isModalInPresentation: Bool { get set }
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)modalPresentationStyle	swift.property	modalPresentationStyle	ImagePlaygroundViewController.modalPresentationStyle	@MainActor @preconcurrency override dynamic var modalPresentationStyle: UIModalPresentationStyle { get set }
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)preferredContentSize	swift.property	preferredContentSize	ImagePlaygroundViewController.preferredContentSize	@MainActor @preconcurrency override dynamic var preferredContentSize: CGSize { get set }
c:@M@ImagePlayground@objc(cs)ImagePlaygroundViewController(py)sourceImage	swift.property	sourceImage	ImagePlaygroundViewController.sourceImage	@MainActor @objc @preconcurrency var sourceImage: UIImage? { get set }
