precise	question	risk	reason
s:15GroupActivities0A16ActivityMetadataV10ExperienceO8rawValueSivp	What Int raw values does GroupActivityMetadata.Experience encode on iOS 26.1 (watchTogether / listenTogether)?	fail-closed	api-digester lists child order but not explicit raw values; this port uses declaration order 0/1.
s:15GroupActivities16BroadcastOptionsV13mirroredVideoACvpZ	Is BroadcastOptions.mirroredVideo exactly 1 << 0 on iOS 26.1?	fail-closed	The graph names one option-set member and Int rawValue; the bit was inferred, not observed.
s:15GroupActivities0A8ActivityPAAE18activityIdentifierSSvpZ	Does the protocol default concatenate Bundle.main.bundleIdentifier and String(describing: Self.self), and with what separator?	os-service	Static sources do not prove the default string; Linux uses bundle.TypeName.
s:15GroupActivities0A8ActivityPAAE8activateSbyYaKF	What NSError domain and code does activate() throw when SharePlay is unavailable or the user cancels?	network	Linux throws GroupActivitiesHostError.sharePlayUnavailable (code 1); Apple's domain is unobserved.
s:15GroupActivities0A8ActivityPAAE20prepareForActivationAA0acF6ResultOyYaF	Does the protocol default return activationPreferred or consult a system eligibility service?	os-service	Linux returns activationDisabled; Apple's default is unobserved.
s:15GroupActivities0A7SessionC5leaveyyF	After leave(), is state waiting or invalidated, and does join() remain legal?	os-service	This port invalidates with sessionLeft and refuses rejoin; Apple's transition is unobserved.
s:15GroupActivities11ParticipantV017isNearbyWithLocalC0Sbvp	When is isNearbyWithLocalParticipant true (Continuity / Nearby Interaction / same FaceTime call)?	os-service	Linux always reports false; no wireless copresence service exists.
s:15GroupActivities0A16ActivityMetadataV4fromACs7Decoder_p_tKcfc	What CodingKeys and previewImage encoding does GroupActivityMetadata use?	fail-closed	This port round-trips public stored fields except CGImage; Apple's keys are unobserved.
s:15GroupActivities0A16SessionMessengerC4send_2to10completiony10Foundation4DataV_AA12ParticipantsOys5Error_pSgctF	Is send(_:to:completion:) invoked on the caller queue, a messenger-private queue, or the session's internal queue?	network	Linux calls the completion inline with messengerUnavailable; Apple's timing is unobserved.
module	Does GroupStateObserver.isEligibleForGroupSession require a FaceTime entitlement, a running daemon, or both, and on which queue are updates published?	os-service	Linux is never eligible and omits Combine publishers.
