precise	question	risk	reason
s:27LightweightCodeRequirements06LaunchB11RequirementV6encode2toys7Encoder_p_tKF	Does Apple's JSONEncoder/PropertyListEncoder for LaunchCodeRequirement emit the documented LWCR fact keys (`team-identifier`, `$and`, `$or`, `$in`) or a private tagged layout?	codesign	Pinned graph and API digester have no coding keys. This port round-trips a documented-key dictionary; Apple byte identity is unobserved.
s:27LightweightCodeRequirements06OnDiskB12SigningFlagsV8ValueSetV13isAdhocSignedAEvpZ	Do OnDiskCodeSigningFlags.ValueSet bits match Darwin CS_* (`CS_ADHOC=0x2`, `CS_KILL=0x200`, …) exactly, or does the Swift overlay use a private mapping?	codesign	Names match cs_blobs.h, but the overlay raw values are not in the symbol graph.
s:27LightweightCodeRequirements07ProcessB12SigningFlagsV8ValueSetV10isDebuggedAEvpZ	Is ProcessCodeSigningFlags.ValueSet.isDebugged `CS_DEBUGGED` (0x10000000) and isDebuggable `CS_GET_TASK_ALLOW` (0x4)?	codesign	Darwin flag meanings match the Swift names; Apple overlay assignment is unobserved.
s:27LightweightCodeRequirements17EntitlementsQueryC11matchSingleyACSSF	Does matchSingle(String) encode CoreEntitlements opcode 3 (`kCEOpMatchString`) and match(String) opcode 6 (`kCEOpStringValueAllowed`)?	security	xnu Entitlements.h plus Apple's match-vs-matchSingle docs support this mapping; the Swift encoder payload is not in the graph.
s:27LightweightCodeRequirements17EntitlementsQueryC8DataTypeO	Are DataType raw values the CoreEntitlements CEType constants (dictionary=1, array=2, integer=3, string=4, boolean=5)?	security	api-digester child order matches CEType skipping unknown=0; explicit raw values are absent from the graph.
s:27LightweightCodeRequirements15ConstraintErrorO19taskIsNoLongerValidyA2CmF	When does the public DSL throw taskIsNoLongerValid, given SecTaskValidateForRequirement is not in the iOS 26.1 public graph?	fail-closed	The case is public; this module has no live-task evaluator, so the error is never produced by constructors.
module	Are TBD-only symbols (ValidationResult, ConstraintCategory, Sec*CheckValidity*, dataEncoding, dictionaryEncoding) intentionally excluded from the iOS 26.1 Swift overlay, or should a later seed add them?	security	tbd-exports.tsv lists them; public-surface.tsv does not. This port stays inside the 294 graph identifiers.
s:27LightweightCodeRequirements12PlatformTypeV5ValueV3iOSAEvpZ	Are PlatformType.Value raw values the Mach-O PLATFORM_* constants (iOS=2, macOS=1, visionOS=11, …)?	codesign	loader.h values match the case set; the graph has no numeric literals.
s:27LightweightCodeRequirements18ValidationCategoryV5ValueV4noneAEvpZ	Is ValidationCategory.Value.none CS_VALIDATION_CATEGORY_NONE (10) rather than 0 (INVALID), matching Apple's launch-constraint table?	codesign	Public constraint documentation lists 1–6 and 10; Swift overlay literals are unobserved.
s:27LightweightCodeRequirements35TeamIdentifierMatchesCurrentProcessV	On Linux there is no Apple team identifier for the current process; should constructing this constraint fail closed, or only evaluation (which lives outside this module)?	fail-closed	The type is a stored boolean fact. Evaluation against a SecTask is not in the public graph.
