precise	question	risk	reason
c:objc(cs)CKContainer(im)accountStatusWithCompletionHandler:	On a Linux host with no Apple ID, does CKContainer.accountStatus complete with CKAccountStatusCouldNotDetermine plus an error, CKAccountStatusNoAccount with a nil error, or another pairing?	identity	The public graph only types the callback. The Linux port returns .noAccount with a nil error (CloudKitRuntime accountStatus probe) and does not fabricate CKAccountStatusAvailable.
c:objc(cs)CKDatabase(im)saveRecord:completionHandler:	What is the exact CKError.Code, userInfo keys, and callback queue for save/fetch/modify when the process has a CloudKit entitlement and a real iCloud account versus this in-process simulated container?	network	The Linux store succeeds locally. Apple daemon codes, QoS, and thread pairing are unobserved.
c:@CKErrorDomain	Confirm CKErrorDomain, CKErrorRetryAfterKey, CKErrorUserDidResetEncryptedDataKey, CKPartialErrorsByItemIDKey, CKRecordChangedError* keys, CKCurrentUserDefaultName, CKOwnerDefaultName, CKRecordZoneDefaultName, CKRecordTypeShare, CKRecordTypeUserRecord, and NSNotification.Name.CKAccountChanged string bytes on the Xcode 26.1 Apple runtime.	database	TBD exports name the symbols but not the string contents. Linux declarations follow the public header spellings; exact Apple bytes are not claimed as an Apple-runtime capture.
c:@E@CKErrorCode	Confirm CKError.Code raw values, CKAccountStatus raw values, CKDatabase.Scope raw values, and other public NS_ENUM integers against the Xcode 26.1 Apple runtime.	database	The Linux port assigns header-shaped integers so the surface compiles. Those integers are not treated as observed Apple ABI.
c:objc(cs)CKRecord(im)allTokens	What does CKRecord.allTokens() return on Apple for string fields, numeric fields, assets, references, and empty records? Is it full-text search tokens, raw string values, or something else?	database	No permitted evidence establishes tokenizer semantics. Linux currently returns an empty array rather than guessing.
s:So8CKRecordC8CloudKitE12makeIteratorAC0a8KeyValueE0VyF	Does CKRecord Sequence iteration order match allKeys() order, a stable sort, or the order fields were set?	database	The graph says CKRecord is a Sequence of (FieldKey, CKRecordValueProtocol) pairs. Linux yields sorted keys that were set; Apple order is unobserved.
c:objc(cs)CKDatabase(im)addOperation:	On Apple, are CKOperation completion blocks invoked synchronously on the caller stack, on an internal CloudKit queue, or only after the operation reaches a daemon-backed executing state?	network	Linux schedules operations on a real Foundation OperationQueue so completions are not inline. That is not a claim of Apple queue identity, QoS, or thread pairing.
c:objc(cs)CKShare(im)initWithRootRecord:	When a CKShare is created locally with no iCloud account, what are owner.role, owner.permission, and owner.acceptanceStatus before any Apple share participants exist?	identity	Linux uses unknown/none/unknown around an unresolved identity and does not fabricate an accepted read-write owner.
c:objc(cs)CKNotification(cm)notificationFromRemoteNotificationDictionary:	Confirm the exact nested keys of a CloudKit remote notification userInfo on iOS 26.1 (ck.t / ck.cid / ck.sid / ck.nid / aps.alert) and when the initializer returns a CKQueryNotification subclass versus the CKNotification base type.	network	Linux parses the documented ck+aps shape onto CKNotification. Dynamic subclass identity of Apple's class cluster is unobserved.
c:@CKQueryOperationMaximumResults	What page size does Apple choose when CKQueryOperation.maximumResults (0) is passed as the results limit?	database	Linux uses 100 as the simulated default (CloudKitRuntime query-cursor probe). Apple's server-chosen size is unobserved.
