precise	question	risk	reason
c:@SLServiceTypeTwitter	What exact UTF-8 payload does Darwin export for SLServiceTypeTwitter?	account-service	Commonly documented as com.apple.social.twitter; RESOLVED 2026-09-15, macOS probe printed [com.apple.social.twitter] (scratch/oracle-2026-09-14/social-service-types-2026-09-15.txt).
c:@SLServiceTypeFacebook	What exact UTF-8 payload does Darwin export for SLServiceTypeFacebook?	account-service	Commonly documented as com.apple.social.facebook; RESOLVED 2026-09-15, macOS probe printed [com.apple.social.facebook] (scratch/oracle-2026-09-14/social-service-types-2026-09-15.txt).
c:@SLServiceTypeSinaWeibo	What exact UTF-8 payload does Darwin export for SLServiceTypeSinaWeibo?	account-service	Commonly documented as com.apple.social.sinaweibo; RESOLVED 2026-09-15, macOS probe printed [com.apple.social.sinaweibo] (scratch/oracle-2026-09-14/social-service-types-2026-09-15.txt).
c:@SLServiceTypeTencentWeibo	What exact UTF-8 payload does Darwin export for SLServiceTypeTencentWeibo?	account-service	Commonly documented as com.apple.social.tencentweibo; RESOLVED 2026-09-15, macOS probe printed [com.apple.social.tencentweibo] (scratch/oracle-2026-09-14/social-service-types-2026-09-15.txt).
c:@SLServiceTypeLinkedIn	What exact UTF-8 payload does Darwin export for SLServiceTypeLinkedIn?	account-service	Commonly documented as com.apple.social.linkedin; RESOLVED 2026-09-15, macOS probe printed [com.apple.social.linkedin] (scratch/oracle-2026-09-14/social-service-types-2026-09-15.txt).
c:@E@SLRequestMethod@SLRequestMethodGET	What are the Darwin NS_ENUM raw values for SLRequestMethod GET/POST/DELETE/PUT?	fail-closed	Overlay uses declaration order 0...3; numeric ABI unobserved.
c:@E@SLComposeViewControllerResult@SLComposeViewControllerResultCancelled	What are the Darwin NS_ENUM raw values for SLComposeViewControllerResult cancelled/done?	fail-closed	Overlay uses declaration order 0, 1; numeric ABI unobserved.
c:objc(cs)SLComposeServiceViewController(im)didSelectPost	When NSExtensionContext is nil, does Darwin didSelectPost complete the extension, dismiss, or no-op?	ui	Linux has no extension host; local counters are partial only.
c:objc(cs)SLRequest(im)preparedURLRequest	Does Darwin preparedURLRequest return an unsigned request, nil, or throw when account is set but OAuth tokens are missing?	account-service	Linux returns nil; Apple signing behavior unobserved.
module	Does a production Linux guest build import UIKit.UIViewController / UIKit.UITextViewDelegate / Accounts.ACAccount without emitting Social-owned fallbacks?	ui	Isolated host gate has no UIKit or Accounts modules; integration identity is unavailable.
