precise	question	risk	reason
s:14MarketplaceKit0aB9URISchemeSSvp	Is Darwin `MarketplaceKitURIScheme` exactly the string `marketplace-kit` (as in the documented `marketplace-kit://install` examples), or does the stored constant include `://` or a different spelling?	fail-closed	Apple's public docs use `marketplace-kit://install`; the graph has a stored `let` with no literal. Linux stores `marketplace-kit`.
s:14MarketplaceKit20TransactionReportingO9TokenTypeV14coreTechnologyAEvpZ	What is the exact Darwin `rawValue` string for `TransactionReporting.TokenType.coreTechnology`?	os-service	The graph documents the member as a CTC reporting token but does not record the payload. Linux uses `coreTechnology`.
s:14MarketplaceKit14AppDistributorO7currentACvpZ	Which `MarketplaceKitError` (or other error) does Darwin `AppDistributor.current` throw on Linux-equivalent hosts, and does it ever return `.other` instead of throwing?	fail-closed	The property is `async throws` with no documented error. Linux throws `.unsupportedPlatform`.
s:14MarketplaceKit10AppLibraryC23maximumAllowedAgeRatingSivp	What integer does Darwin report for `AppLibrary.maximumAllowedAgeRating` when Screen Time has no restriction?	privacy	No default is in the graph. Linux fail-closes to `0` because there is no parental-control daemon.
s:14MarketplaceKit19InstallRequirementsV17satisfiedByDeviceSbyF	Does Darwin treat an all-nil `InstallRequirements` as satisfied, and which UIDevice/capability table does `requiredDeviceCapabilities` consult?	fail-closed	Linux treats empty requirements as vacuously true and any Apple-device constraint as false.
s:14MarketplaceKit0aB5ErrorO6encode2toys7Encoder_p_tKF	What keyed-archive / Codable layout does Darwin use for `MarketplaceKitError`, especially `insufficientStorageSpace`?	fail-closed	Linux encodes a local `linuxCase` key plus associated payloads. Darwin layout is unobserved.
s:14MarketplaceKit10AppLibraryC16ExceptionRequestV6StatusO8rawValueSivp	Are Darwin raw values for `ExceptionRequest.Status` `pending=0`, `approved=1`, `declined=2` matching digester child order?	fail-closed	No explicit raw values in the graph. Linux uses declaration order.
s:21_MarketplaceKit_UIKit12ActionButtonC0E14ImagePlacementO8rawValueSivp	Are Darwin raw values for `ButtonImagePlacement` `top=0`, `leading=1`, `bottom=2`, `trailing=3` matching the UIKit overlay graph child order?	fail-closed	Overlay graph lists top, leading, bottom, trailing. Public-surface row order differs. Linux uses overlay child order.
s:14MarketplaceKit0A12AppExtensionP	Does a Linux port without ExtensionFoundation still need `AppExtension` inheritance for a binary-compatible overlay?	os-service	api-digester records `genericSig: <Self : ExtensionFoundation.AppExtension>`. Isolated host cannot import that module.
s:21_MarketplaceKit_UIKit25InstallConfirmationResultO9confirmedyACSS_So9LAContextCSgtcACmF	Does Darwin require a non-nil `LAContext` for `InstallConfirmationResult.confirmed`, and on which queue is `confirmInstall` invoked?	privacy	LAContext is LocalAuthentication-owned. Linux allows nil and never presents LocalAuthentication UI.
module	Which entitlement / marketplace daemon / age-exception in-person sheet is required before `AppLibrary` install APIs return success, and what is the exact error when the entitlement is missing?	os-service	Linux never contacts Apple services and throws `.unsupportedPlatform` or `.featureUnavailable` / `.invalidLicense` as documented for each method.
