precise	question	risk	reason
c:objc(cs)EKEventStore(im)requestAccessToEntityType:completion:	On Darwin, does a first TCC deny persist .denied across process relaunch independently of this port's store.json?	privacy	This port persists .denied only when EKEventStore.denyAccessRequests is set; there is no TCC prompt.
c:objc(cs)EKEventStore(im)fetchRemindersMatchingPredicate:completion:	When unauthorized, Darwin fetchReminders completes with nil (as cancel does) rather than []. This port matches that; confirm on iOS 26.1.	host-store	Header: cancelled fetches complete with nil; unauthorized is not spelled out.
c:objc(cs)EKEventStore(im)requestFullAccessToEventsWithCompletion:	Confirm completion is never invoked reentrantly on the calling stack and is not required to be main-queue.	privacy	Header says the handler may run on an arbitrary queue. This port delivers on a global utility queue.
c:objc(cs)EKVirtualConferenceProvider(im)fetchAvailableRoomTypesWithCompletionHandler:	Is osNotSupported the Darwin error when no virtual-conference NSExtension is registered, and is the handler always asynchronous?	host-store	Provider is an NSExtensionRequestHandling class; Linux has no extension host.
c:@EKEventStoreChangedNotification	Does Darwin post EKEventStoreChanged on the main queue, and does commit:false ever post? This port posts on the committing thread after a successful disk write only.	calendar	Header names the notification; queue and commit:false are unstated.
s:So20NSNotificationCenterC10FoundationE17MessageIdentifierP8EventKitAbCE04BasedE0Vy_So12EKEventStoreCAFE0fJ7ChangedVGRszrlE7changedAMvpZ	Does guest Foundation on Linux grow NotificationCenter.MainActorMessage so EventStoreChanged can conform, or is the typed identity Darwin-only?	host-store	Pinned graphs require the Foundation protocol; Linux compiles the struct without the protocol.
c:@E@EKAuthorizationStatus@EKAuthorizationStatusAuthorized	Confirm authorized remains a same-value alias of fullAccess (raw 3) including NSNumber bridging on iOS 26.1.	privacy	The overlay lists authorized as a type property, not a distinct case.
c:objc(cs)EKStructuredLocation(cm)locationWithMapItem:	On iOS 26.1, is MKMapItem.location the coordinate source for init(mapItem:), and is name copied onto title when set?	calendar	Measured on macOS 26 MKMapItem(location:address:); iOS MapKit may still expose placemark.
c:objc(cs)EKCalendar(py)CGColor	What is Calendar.app's default local-calendar CGColor on iOS 26.1? This port uses sRGB (0, 0.478, 1, 1) as an unmeasured default.	calendar	No iOS Calendar.app capture in this wave.
c:objc(cs)EKEventStore(im)saveEvent:span:commit:error:	Does Darwin EKSpan.thisEvent on the series DTSTART update the master instead of detaching? This port updates the master when occurrenceDate equals startDate.	calendar	Header names the span; DTSTART vs occurrence split is unstated.
module	Must a successful EKEventStore.save on Apple platforms imply Calendar TCC fullAccess, forbidding a process-local scratch store?	host-store	This port's store is documented under OpenUIKit/EventKit and is not the system calendar.
