precise	question	risk	reason
s:20LiveCommunicationKit12ConversationC11EndedReasonO	Do Conversation.EndedReason raw values start at 0 (Swift sequential from API-digester child order) or at 1 like CallKit CXCallEndedReason?	fail-closed	The pinned graph and digester record child order (failed, remoteEnded, unanswered, joinedElsewhere, declinedElsewhere) without explicit integers. CallKit's sibling enum starts at 1 and uses answeredElsewhere instead of joinedElsewhere. Linux uses 0-based Swift assignment until an Apple-oracle probe observes the payload.
s:20LiveCommunicationKit6HandleV4KindO	Do Handle.Kind raw values start at 0 (generic) or at 1 to match CXHandleType?	fail-closed	Handle.Kind is a Swift enum with digester order generic, phoneNumber, emailAddress. CXHandleType is a different ObjC NS_ENUM that starts at 1. The sealed seed does not record explicit integers.
s:20LiveCommunicationKit12ConversationC12CapabilitiesV	Are Conversation.Capabilities bits 1<<0...1<<4 in API-digester stored-property order (pausing, merging, unmerging, video, playingTones)?	fail-closed	The graph lists the static lets without raw values. Linux assigns sequential option-set bits from digester order. Apple's bit layout is unobserved.
s:20LiveCommunicationKit18ConversationActionC4failyyF	What reason string does ConversationAction.fail() store in State.failed(reason:)?	fail-closed	The public selector has no argument. Linux records an empty string and treats a second fail/fulfill as a no-op. Apple's payload, localization, and whether fail() from idle also transitions through running are unobserved.
s:20LiveCommunicationKit6HandleV4type5value11displayNameA2C4KindO_S2SSgtcfc	When displayName is nil, does Handle store value, empty string, or some other coalesced string?	fail-closed	The initializer default is documented as String? = nil while the stored property is non-optional String. Linux uses displayName ?? value.
s:20LiveCommunicationKit19ConversationManagerC017reportNewIncomingD04uuid6updatey10Foundation4UUIDV_AA0D0C6UpdateVtYaKF	What error domain and code does reportNewIncomingConversation throw when CallKit/PushKit/telephony daemons are absent?	telephony	The public surface has no LiveCommunicationKit error type. Linux throws CocoaError.featureUnsupported. Apple's NSError domain, entitlement failure codes, and whether a process-local conversation is still registered are unobserved.
s:20LiveCommunicationKit19ConversationManagerC32reportNewIncomingVoIPPushPayloadyySDys11AnyHashableVypGYaKFZ	What payload keys are required, and which error is thrown for a well-formed VoIP push on a host without PushKit?	os-service	The method is a class function taking [AnyHashable: Any]. Linux always throws CocoaError.featureUnsupported and never inspects keys.
s:20LiveCommunicationKit28TelephonyConversationManagerC013startCellularE0yyAA05StarthE6ActionVYaKF	What error is thrown when no cellular service exists, and does an empty cellularServices array match Apple with no SIM?	telephony	Linux returns [] for cellularServices and throws CocoaError.featureUnsupported from startCellularConversation. CoreTelephony mapping is unobserved.
s:20LiveCommunicationKit31StartCellularConversationActionVyAcA0F14HistoryManagerC06RecentF0Vcfc	Which handle does init(_ recentConversation:) pick when the recents row has zero, one, or several handles?	telephony	Linux uses handles.first or Handle(type: .generic, value: "") and cellularService nil. Apple's selection and whether direction/status affect the action are unobserved.
s:20LiveCommunicationKit18ConversationActionC16conversationUUID11timeoutDateAC10Foundation0G0V_AF0I0Vtcfc	Is timeoutDate evaluated once at init as Date(timeIntervalSinceNow: 30), and does the action auto-fail at that date without a run loop?	os-service	The declaration documents the default. Linux stores the date and never schedules a timer because the sealed runner has no run loop. Timeout delivery and queue identity are unobserved.
s:So20NSNotificationCenterC10FoundationE17MessageIdentifierP20LiveCommunicationKitAbCE04BasedE0Vy_AF26ConversationHistoryManagerC0jK9DidUpdateVGRszrlE012conversationkmnD0AMvpZ	Does Linux Foundation need NotificationCenter.MessageIdentifier before conversationHistoryDidUpdateMessage can be declared?	os-service	The identifier extends a Foundation type that is absent from Swift 6.2.4 linux Foundation. This port does not invent a framework-local substitute. ConversationHistoryDidUpdate.name / makeMessage / makeNotification are implemented as process-local Notification.Name helpers.
module	When ConversationManager.invalidate() runs, does Apple always call conversationManagerDidReset, and is the conversations array guaranteed empty afterwards?	os-service	Linux clears conversations and pending actions and invokes conversationManagerDidReset on the current delegate. Whether Apple also tears down CallKit CXProvider state or posts history notifications is unobserved.
