precise	kind	title	path	declaration
s:16WirelessInsights17ServicePredictionV	swift.struct	ServicePrediction	ServicePrediction	struct ServicePrediction
s:16WirelessInsights17ServicePredictionV10ConfidenceO	swift.enum	ServicePrediction.Confidence	ServicePrediction.Confidence	enum Confidence
s:16WirelessInsights17ServicePredictionV10ConfidenceO1loiySbAE_AEtFZ	swift.func.op	<(_:_:)	ServicePrediction.Confidence.<(_:_:)	static func < (a: ServicePrediction.Confidence, b: ServicePrediction.Confidence) -> Bool
s:16WirelessInsights17ServicePredictionV10ConfidenceO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	ServicePrediction.Confidence.==(_:_:)	static func == (a: ServicePrediction.Confidence, b: ServicePrediction.Confidence) -> Bool
s:16WirelessInsights17ServicePredictionV10ConfidenceO3lowyA2EmF	swift.enum.case	ServicePrediction.Confidence.low	ServicePrediction.Confidence.low	case low
s:16WirelessInsights17ServicePredictionV10ConfidenceO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ServicePrediction.Confidence.init(from:)	init(from decoder: any Decoder) throws
s:16WirelessInsights17ServicePredictionV10ConfidenceO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ServicePrediction.Confidence.hash(into:)	func hash(into hasher: inout Hasher)
s:16WirelessInsights17ServicePredictionV10ConfidenceO4highyA2EmF	swift.enum.case	ServicePrediction.Confidence.high	ServicePrediction.Confidence.high	case high
s:16WirelessInsights17ServicePredictionV10ConfidenceO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ServicePrediction.Confidence.encode(to:)	func encode(to encoder: any Encoder) throws
s:16WirelessInsights17ServicePredictionV10ConfidenceO6mediumyA2EmF	swift.enum.case	ServicePrediction.Confidence.medium	ServicePrediction.Confidence.medium	case medium
s:16WirelessInsights17ServicePredictionV10ConfidenceO9hashValueSivp	swift.property	hashValue	ServicePrediction.Confidence.hashValue	var hashValue: Int { get }
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV	swift.struct	ServicePrediction.ConfidenceScore	ServicePrediction.ConfidenceScore	struct ConfidenceScore
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV10predictionAC0E0Ovp	swift.property	prediction	ServicePrediction.ConfidenceScore.prediction	let prediction: ServicePrediction.Confidence
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	ServicePrediction.ConfidenceScore.==(_:_:)	static func == (a: ServicePrediction.ConfidenceScore, b: ServicePrediction.ConfidenceScore) -> Bool
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ServicePrediction.ConfidenceScore.init(from:)	init(from decoder: any Decoder) throws
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ServicePrediction.ConfidenceScore.hash(into:)	func hash(into hasher: inout Hasher)
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ServicePrediction.ConfidenceScore.encode(to:)	func encode(to encoder: any Encoder) throws
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV8durationAC0E0Ovp	swift.property	duration	ServicePrediction.ConfidenceScore.duration	let duration: ServicePrediction.Confidence
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV9hashValueSivp	swift.property	hashValue	ServicePrediction.ConfidenceScore.hashValue	var hashValue: Int { get }
s:16WirelessInsights17ServicePredictionV15ConfidenceScoreV9startTimeAC0E0Ovp	swift.property	startTime	ServicePrediction.ConfidenceScore.startTime	let startTime: ServicePrediction.Confidence
s:16WirelessInsights17ServicePredictionV15confidenceScoreAC010ConfidenceF0Vvp	swift.property	confidenceScore	ServicePrediction.confidenceScore	let confidenceScore: ServicePrediction.ConfidenceScore
s:16WirelessInsights17ServicePredictionV17QuantizedIntervalV	swift.struct	ServicePrediction.QuantizedInterval	ServicePrediction.QuantizedInterval	struct QuantizedInterval
s:16WirelessInsights17ServicePredictionV17QuantizedIntervalV4longSdvpZ	swift.type.property	long	ServicePrediction.QuantizedInterval.long	static let long: Double
s:16WirelessInsights17ServicePredictionV17QuantizedIntervalV5shortSdvpZ	swift.type.property	short	ServicePrediction.QuantizedInterval.short	static let short: Double
s:16WirelessInsights17ServicePredictionV17QuantizedIntervalV6mediumSdvpZ	swift.type.property	medium	ServicePrediction.QuantizedInterval.medium	static let medium: Double
s:16WirelessInsights17ServicePredictionV17QuantizedIntervalV7minimalSdvpZ	swift.type.property	minimal	ServicePrediction.QuantizedInterval.minimal	static let minimal: Double
s:16WirelessInsights17ServicePredictionV17predictedIntervalSdvp	swift.property	predictedInterval	ServicePrediction.predictedInterval	let predictedInterval: TimeInterval
s:16WirelessInsights17ServicePredictionV18predictedStartTime10Foundation4DateVvp	swift.property	predictedStartTime	ServicePrediction.predictedStartTime	let predictedStartTime: Date
s:16WirelessInsights17ServicePredictionV2eeoiySbAC_ACtFZ	swift.func.op	==(_:_:)	ServicePrediction.==(_:_:)	static func == (a: ServicePrediction, b: ServicePrediction) -> Bool
s:16WirelessInsights17ServicePredictionV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	ServicePrediction.init(from:)	init(from decoder: any Decoder) throws
s:16WirelessInsights17ServicePredictionV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ServicePrediction.hash(into:)	func hash(into hasher: inout Hasher)
s:16WirelessInsights17ServicePredictionV6ImpactO	swift.enum	ServicePrediction.Impact	ServicePrediction.Impact	enum Impact
s:16WirelessInsights17ServicePredictionV6ImpactO1loiySbAE_AEtFZ	swift.func.op	<(_:_:)	ServicePrediction.Impact.<(_:_:)	static func < (a: ServicePrediction.Impact, b: ServicePrediction.Impact) -> Bool
s:16WirelessInsights17ServicePredictionV6ImpactO2eeoiySbAE_AEtFZ	swift.func.op	==(_:_:)	ServicePrediction.Impact.==(_:_:)	static func == (a: ServicePrediction.Impact, b: ServicePrediction.Impact) -> Bool
s:16WirelessInsights17ServicePredictionV6ImpactO3lowyA2EmF	swift.enum.case	ServicePrediction.Impact.low	ServicePrediction.Impact.low	case low
s:16WirelessInsights17ServicePredictionV6ImpactO4fromAEs7Decoder_p_tKcfc	swift.init	init(from:)	ServicePrediction.Impact.init(from:)	init(from decoder: any Decoder) throws
s:16WirelessInsights17ServicePredictionV6ImpactO4hash4intoys6HasherVz_tF	swift.method	hash(into:)	ServicePrediction.Impact.hash(into:)	func hash(into hasher: inout Hasher)
s:16WirelessInsights17ServicePredictionV6ImpactO4highyA2EmF	swift.enum.case	ServicePrediction.Impact.high	ServicePrediction.Impact.high	case high
s:16WirelessInsights17ServicePredictionV6ImpactO6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	ServicePrediction.Impact.encode(to:)	func encode(to encoder: any Encoder) throws
s:16WirelessInsights17ServicePredictionV6ImpactO6mediumyA2EmF	swift.enum.case	ServicePrediction.Impact.medium	ServicePrediction.Impact.medium	case medium
s:16WirelessInsights17ServicePredictionV6ImpactO9hashValueSivp	swift.property	hashValue	ServicePrediction.Impact.hashValue	var hashValue: Int { get }
