precise	question	risk	reason
c:objc(cs)OSLogStore(cm)storeWithScope:error:	Does Apple's OSLogStore.init(scope: .currentProcessIdentifier) succeed on an iOS process with an empty unified-log catalog, or can it throw (entitlement, privacy, logd down)?	fail-closed	Probe 2026-09-05 SE 2x / iOS 26.1 succeeded. Linux succeeds with an in-process ring. Whether Apple ever fails this factory is still unobserved off-simulator.
c:objc(cs)OSLogStore(cm)storeWithURL:error:	What NSError domain/code does Apple return for a missing or truncated .logarchive, and is the on-disk catalog/chunk layout documented enough to parse?	fail-closed	Linux throws OSLogPortable.StoreError.logArchiveUnavailable and does not invent a parser. Archive bytes are absent from the public seed.
s:So10OSLogStoreC0A0E10getEntries4with2at8matchings11AnySequenceVySo0A5EntryCGSo0A17EnumeratorOptionsV_So0A8PositionCSgSo11NSPredicateCSgtKF	On Apple's Swift overlay, does Options.reverse actually reverse AnySequence order, and does position(date:) clip currentProcessIdentifier rows?	fail-closed	Probe 2: getEntries(with: .reverse) stayed chronological (sameOrder=true, 7 rows); a future position(date:) still returned 7/7. The port reverses and applies date >= / since-end so the APIs are observable. ObjC enumerator reverse is unobserved.
c:objc(cs)OSLogEntry(py)composedMessage	When does composedMessage show <private> versus the raw interpolation for .private / .mask(.hash)?	fail-closed	Probe: currentProcessIdentifier shows .private and .auto strings and .private(mask: .hash) raw ("hunter2"); only .sensitive is "<private>". Console / other-process redaction of .private is documented but was not the store's composedMessage in this scope.
s:So21OSLogMessageComponentC0A0E8argumentAbCE8ArgumentOvp	When argumentCategory is data but argumentDataValue is nil (or category/value disagree), which OSLogMessageComponent.Argument case does Apple return?	fail-closed	The overlay maps category to the matching payload. Sensitive interpolations were category 0 with no payload (probe e[14]). Disagreeing category/value pairs remain unobserved.
c:objc(cs)OSLogMessageComponent	What keyed-archive keys and classes does Apple encode for OSLogEntry / OSLogMessageComponent, and does init(coder:) fail for a truncated archive?	fail-closed	Public graphs declare NSSecureCoding conformance but not the archive layout. Linux returns nil rather than invent a payload.
c:@E@OSLogStoreScope	Does iOS expose OSLogStore.Scope.system (macios System = 0) at runtime, or is currentProcessIdentifier the only valid raw value as in this iPhoneOS graph?	fail-closed	The iOS public surface only names currentProcessIdentifier = 1. init(rawValue: 0) returns nil here; macOS system-scope behavior is out of this seed.
c:objc(cs)OSLogEntrySignpost	Does OSLogStore.currentProcessIdentifier ever yield OSLogEntrySignpost for OSSignposter.beginInterval/emitEvent/endInterval?	fail-closed	Probe 2: 0 signpostEvent rows after begin/event/end plus 0.4 s sleep. The port records OSLogEntrySignpost into the ring so the public subclasses are reachable.
c:objc(cs)OSLogEntryActivity	What public API produces OSLogEntryActivity / OSLogEntryBoundary on iOS 26.1 currentProcessIdentifier?	fail-closed	Probe 2 classes were OSLogEntryLog only. Activity/boundary stay declared until a producing API is measured.
module	Does a later Darwin integration still require @_exported import os so import OSLog and import os share one Logger/OSSignpostID identity, or does the store-only overlay become a second module?	fail-closed	The existing IceCubes consumer proof re-exports os. The Linux host gate cannot import os (and Darwin os does not export os_activity_id_t into this module). Mixing both identities on a combined guest sysroot is unobserved.
