precise	question	risk	reason
c:@NEVPNErrorDomain	What is the exact runtime string of NEVPNErrorDomain and NEVPNError.errorDomain on iPhoneOS 26.1?	fail-closed	The symbol graph records the identifier but not the string payload; this port uses the C constant name.
c:@NEVPNConnectionErrorDomain	What are the exact NS_ERROR_ENUM raw values for every NEVPNConnectionError case on iPhoneOS 26.1, including configurationNotFound?	vpn	The graph lists cases without integers; sequential values from public NEVPNConnection.h may drift.
c:@E@NERelayManagerClientError	What are the exact raw values for NERelayManagerClientError on iPhoneOS 26.1?	network	Relay client errors are not present with numeric payloads in the pinned graph.
s:16NetworkExtension18NEURLFilterManagerC5ErrorO	What are the exact raw values and LocalizedError strings for NEURLFilterManager.Error?	fail-closed	The Swift overlay enum is in the graph without raw values; PIR/URL-filter behavior is Apple-service-only.
c:@macro@NEFilterFlowBytesMax	Is NEFilterFlowBytesMax 512*1024, UINT32_MAX, or another value on iPhoneOS 26.1?	fail-closed	Apple headers describe a maximum peek window but the pinned inputs do not include the exported constant.
c:@E@NEHotspotConfigurationEAPTLSVersion	Which Swift case names and raw values does NEHotspotEAPSettings.TLSVersion publish?	entitlement	The compact surface includes the enum and init(rawValue:) but no cases.
c:@kNEHotspotHelperOptionDisplayName	What is the exact string payload of kNEHotspotHelperOptionDisplayName?	entitlement	Only the identifier is in the graph; this port uses a C-identifier placeholder, not DisplayName.
c:objc(cs)NEVPNConnection(im)startVPNTunnelWithOptions:andReturnError:	Does startVPNTunnel throw NEVPNError.connectionFailed, NEVPNError.configurationInvalid, or a NEVPNConnectionError when the VPN plugin cannot be started?	vpn	Linux cannot host a tunnel; the thrown code should match Apple's entitlement/plugin-missing failure, which is not in the graph.
s:So22NEPacketTunnelProviderC16NetworkExtensionE16virtualInterface0D011NWInterfaceVSgvp	What is the public Swift type of NEPacketTunnelProvider.virtualInterface on iPhoneOS 26.1 (NWInterface from Network.framework versus a NetworkExtension overlay)?	network	The declaration names NWInterface, which is not in this module's public surface and is not available as a Linux system module.
c:objc(cs)NEHotspotConfigurationManager(im)joinAccessoryHotspot:passphrase:completionHandler:	Does joinAccessoryHotspot require AccessorySetupKit.ASAccessory at compile time on iPhoneOS 26.1, and what error is returned without the hotspot entitlement?	entitlement	The method was omitted because ASAccessory is outside this isolated compile.
module	Which NetworkExtension preference notifications post on the Darwin notification center versus NSNotificationCenter, and what are the exact string names including any Notification suffix?	network	The Foundation overlay graph records Swift names but not the bridged string values used by DuckDuckGo VPN observers.
