precise	question	risk	reason
c:@CoreHapticsErrorDomain	What exact NSError domain string does Apple's iOS 26.1 CoreHaptics binary store in CoreHapticsErrorDomain?	fail-closed	The seed records the exported symbol, not the runtime payload. Linux uses the C identifier as process-local identity.
c:objc(cs)CHHapticEngine(im)startAndReturnError:	On a device without a Taptic Engine, does Apple throw CHHapticError.notSupported or another code from start(), and is the engine object still constructible?	fail-closed	Linux constructs CHHapticEngine and throws notSupported from start. Apple's simulator-versus-device split is unobserved.
c:objc(cs)CHHapticEngine(im)startWithCompletionHandler:	Does Apple invoke the start completion handler inline on the calling thread, or after return and on which queue?	fail-closed	Linux delivers the fail-closed error synchronously before start(completionHandler:) returns. Apple's queue and after-return behavior are unobserved.
c:objc(cs)CHHapticEngine(im)notifyWhenPlayersFinished:	When no player is running, does Apple call the finished handler immediately, and which FinishedAction does a nil-error path expect the client to return?	fail-closed	Linux invokes the handler synchronously with notSupported and ignores the returned action. Apple's idle/finished handshake is unobserved.
c:objc(cs)CHHapticEngine(im)initWithAudioSession:error:	What happens when init(audioSession:) is passed nil versus a session that cannot play haptics, and which CHHapticError.Code is used?	fail-closed	AVAudioSession is not a declared dependency. The isolated host omits this initializer rather than shipping a lookalike.
c:objc(pl)CHHapticDeviceCapability(im)attributesForEventParameter:eventType:error:	What min/max/default does Apple return for hapticIntensity on a hapticTransient event, and do audio-only parameters throw?	fail-closed	Linux always throws notSupported. Inventing 0...1 ranges would claim unobserved hardware attributes.
c:objc(cs)CHHapticEngine(py)currentTime	While the engine is stopped, and after a successful start, what TimeInterval does Apple's currentTime report (epoch, engine-local, or CHHapticTimeImmediate)?	fail-closed	Linux always reports 0. Apple's running-engine clock is unobserved.
c:objc(cs)CHHapticPattern(im)exportDictionaryAndReturnError:	Does Apple's exportDictionary preserve unknown extra keys and numeric Version as Double versus Int, and does it round-trip EventWaveformPath?	fail-closed	Linux exports a portable AHAP-shaped dictionary of known keys only. Apple's extra-key and numeric-type behavior is unobserved.
c:objc(cs)CHHapticEngine(im)registerAudioResource:options:error:	Does Apple require a local file URL, and which options keys are validated against CHHapticAudioResourceKeyLoopEnabled?	fail-closed	Linux throws notSupported without touching the file. Audio-resource identity and option defaults are unobserved.
module	Must every start/play/register path remain fail-closed until a Linux haptic renderer exists, or may a documented subset succeed as no-ops?	fail-closed	Fabricating successful haptic or audio playback would claim Apple service/hardware success. This starting point keeps engine and players fail-closed.
