precise	status	evidence	notes
c:@E@SFSpeechErrorCode	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeAudioReadFailed	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeInternalServiceError	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeMalformedSupplementalModel	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeMissingParameter	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeTimeout	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechErrorCode@SFSpeechErrorCodeUndefinedTemplateClassName	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskHint	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintConfirmation	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintDictation	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintSearch	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskHint@SFSpeechRecognitionTaskHintUnspecified	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateCanceling	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateCompleted	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateFinishing	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateRunning	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognitionTaskState@SFSpeechRecognitionTaskStateStarting	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognizerAuthorizationStatus	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusAuthorized	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusDenied	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusNotDetermined	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@E@SFSpeechRecognizerAuthorizationStatus@SFSpeechRecognizerAuthorizationStatusRestricted	implemented	test:full/speech/tests/agent/SpeechEnumTests.swift#testSpeechClassicEnums	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@M@Speech@objc(cs)AssetInstallationRequest	implemented	test:full/speech/tests/agent/SpeechAnalyzerTests.swift#testAssetInstallationRequest	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@M@Speech@objc(cs)AssetInstallationRequest(py)progress	implemented	test:full/speech/tests/agent/SpeechAnalyzerTests.swift#testAssetInstallationRequest	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:@SFSpeechErrorDomain	implemented	test:full/speech/tests/agent/SpeechErrorTests.swift#testSFSpeechErrorCodes	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:objc(cs)SFAcousticFeature	implemented	test:full/speech/tests/agent/SpeechTranscriptionTests.swift#testSFAcousticFeature	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:objc(cs)SFAcousticFeature(py)frameDuration	implemented	test:full/speech/tests/agent/SpeechTranscriptionTests.swift#testSFAcousticFeature	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:objc(cs)SFSpeechAudioBufferRecognitionRequest	implemented	test:full/speech/tests/agent/SpeechRequestTests.swift#testSpeechAudioBufferRequest	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(im)appendAudioPCMBuffer:	implemented	test:full/speech/tests/agent/SpeechRequestTests.swift#testSpeechAudioBufferRequest	Focused Linux host assertion; Apple speech-engine success is not claimed.
c:objc(cs)SFSpeechAudioBufferRecognitionRequest(im)appendAudioSampleBuffer:	implemented	test:full/speech/tests/agent/SpeechRequestTests.swift#testSpeechAudioBufferRequest	Focused Linux host assertion; Apple speech-engine success is not claimed.
